"SAM,C,5","PRJ_CD,C,12","SPC,C,3","FLEN,C,4","TLEN,C,4","RWT,C,7","SEX,C,1","MAT,C,1","AGE,C,3"
00001,23D_IA00_ANJ,131,598,637,1444.5,1,2,3
00001,23D_IA00_ANJ,131,468,502,659.0,1,2,2
00003,23D_IA00_ANJ,131,354,380,311.1,1,2,1
00003,23D_IA00_ANJ,131,475,509,744.1,1,2,2
00003,23D_IA00_ANJ,131,585,625,1450.2,2,2,3
00005,23D_IA00_ANJ,131,480,514,762.9,1,2,2
00005,23D_IA00_ANJ,131,541,579,1203.3,1,2,2
00007,23D_IA00_ANJ,131,669,713,2250,2,2,5
00007,23D_IA00_ANJ,131,525,558,1010.7,2,2,2
00007,23D_IA00_ANJ,131,712,755,2950,2,2,6
00007,23D_IA00_ANJ,131,752,794,3050,2,2,7
00008,23D_IA00_ANJ,131,434,465,529.2,1,2,3
00010,23D_IA00_ANJ,131,718,758,2550,2,2,5
00013,23D_IA00_ANJ,131,985,1037,7100,2,2,10
00014,23D_IA00_ANJ,131,425,453,508.3,1,2,2
00014,23D_IA00_ANJ,131,785,830,3100,2,2,6
00016,23D_IA00_ANJ,131,498,532,860.8,2,2,2
00017,23D_IA00_ANJ,131,535,570,1130.1,1,2,3
00018,23D_IA00_ANJ,131,621,662,1550,2,2,4
00018,23D_IA00_ANJ,131,559,594,1328.5,1,2,2
00018,23D_IA00_ANJ,131,679,720,1954.8,1,2,5
00001,10D_IA00_BAR,131,310,331,200,1,1,2
00001,10D_IA00_BAR,131,368,394,380,9,9,3
00001,10D_IA00_BAR,131,382,409,400,9,9,1
00001,10D_IA00_BAR,131,507,545,1025,1,2,4
00001,10D_IA00_BAR,131,549,581,900,2,2,5
00001,10D_IA00_BAR,131,470,504,660,2,2,3
00001,10D_IA00_BAR,131,904,945,7000,9,9,11
00002,10D_IA00_BAR,131,460,492,660,9,9,2
00002,10D_IA00_BAR,131,425,449,540,2,2,3
00002,10D_IA00_BAR,131,400,427,420,9,9,2
00002,10D_IA00_BAR,131,470,503,680,9,9,3
00002,10D_IA00_BAR,131,520,540,1000,9,9,4
00003,10D_IA00_BAR,131,440,473,600,9,9,2
00003,10D_IA00_BAR,131,470,504,560,1,2,4
00003,10D_IA00_BAR,131,430,464,600,1,2,2
00003,10D_IA00_BAR,131,415,446,520,1,2,4
00003,10D_IA00_BAR,131,465,500,660,9,9,3
00003,10D_IA00_BAR,131,425,456,620,1,2,2
00004,10D_IA00_BAR,131,612,652,1025,2,2,6
00002,12D_IA00_BEA,131,914,965,5200,,,13
00002,12D_IA00_BEA,131,630,662,1950,2,2,6
00003,12D_IA00_BEA,131,302,324,195,1,1,1
00003,12D_IA00_BEA,131,708,750,2900,1,2,8
00003,12D_IA00_BEA,131,418,452,480,1,2,3
00004,12D_IA00_BEA,131,592,630,1500,1,2,5
00005,12D_IA00_BEA,131,400,432,395,1,2,3
00005,12D_IA00_BEA,131,422,472,535,2,2,2
00006,12D_IA00_BEA,131,395,425,400,1,2,2
00007,12D_IA00_BEA,131,445,494,440,2,2,2
00007,12D_IA00_BEA,131,817,868,3800,2,2,7
00008,12D_IA00_BEA,131,170,178,,2,2,3
00001,10D_IA00_BEA,131,546,581,1050,2,2,2
00001,10D_IA00_BEA,131,545,586,1200,1,2,3
00001,10D_IA00_BEA,131,540,578,975,2,1,2
00001,10D_IA00_BEA,131,640,681,2350,1,2,7
00002,10D_IA00_BEA,131,355,377,300,2,1,1
00002,10D_IA00_BEA,131,382,405,350,2,1,1
00003,10D_IA00_BEA,131,427,456,500,2,1,1
00003,10D_IA00_BEA,131,470,506,680,2,1,2
00003,10D_IA00_BEA,131,600,643,1600,2,2,3
00006,10D_IA00_BEA,131,632,673,2025,1,2,3
00003,45D_IA00_BIG,131,676,715,2400,2,2,4
00003,45D_IA00_BIG,131,685,730,2100,2,2,7
00003,45D_IA00_BIG,131,485,520,686.1,2,2,3
00003,45D_IA00_BIG,131,370,400,343.5,1,2,1
00003,45D_IA00_BIG,131,300,325,174.2,1,2,1
00007,45D_IA00_BIG,131,895,944,6400,2,2,7
00007,45D_IA00_BIG,131,685,724,2350,2,2,4
00007,45D_IA00_BIG,131,940,987,6600,2,2,10
00007,45D_IA00_BIG,131,468,500,749.0,1,2,3
00007,45D_IA00_BIG,131,316,340,193.3,1,2,1
00011,45D_IA00_BIG,131,681,727,2140,2,1,3
00021,21D_IA00_BIS,131,504,520,850,1,2,3
00021,21D_IA00_BIS,131,429,455,575,1,2,2
00021,21D_IA00_BIS,131,430,455,575,2,2,2
00021,21D_IA00_BIS,131,415,440,500,2,2,1
00021,21D_IA00_BIS,131,362,389,375,1,2,1
00021,21D_IA00_BIS,131,490,520,825,2,2,2
00021,21D_IA00_BIS,131,460,484,650,1,2,2
00021,21D_IA00_BIS,131,360,381,350,2,2,1
00022,21D_IA00_BIS,131,399,426,380,2,2,2
00023,21D_IA00_BIS,131,425,453,,1,2,3
00024,21D_IA00_BIS,131,530,562,1100,2,2,3
00025,21D_IA00_BIS,131,666,701,1900,2,2,6
00025,21D_IA00_BIS,131,469,499,680,2,2,3
00029,21D_IA00_BIS,131,521,550,1000,1,2,4
00030,21D_IA00_BIS,131,515,545,1000,1,2,4
00030,21D_IA00_BIS,131,500,531,900,2,2,3
00030,21D_IA00_BIS,131,272,283,170,1,1,0
00030,21D_IA00_BIS,131,545,576,1250,1,2,4
00031,21D_IA00_BIS,131,544,575,1280,2,2,4
00031,21D_IA00_BIS,131,438,464,560,2,2,1
00034,21D_IA00_BIS,131,450,470,750,1,2,2
00034,21D_IA00_BIS,131,455,490,800,1,2,2
00034,21D_IA00_BIS,131,468,500,950,1,2,2
00034,21D_IA00_BIS,131,454,485,800,1,2,2
00035,21D_IA00_BIS,131,428,455,555,1,2,2
00035,21D_IA00_BIS,131,483,510,700,1,2,3
00035,21D_IA00_BIS,131,227,241,89,1,1,0
00036,21D_IA00_BIS,131,510,540,1100,1,2,2
00036,21D_IA00_BIS,131,570,603,1550,2,2,4
00036,21D_IA00_BIS,131,608,636,1500,2,2,4
00037,21D_IA00_BIS,131,600,630,1700,2,2,4
00037,21D_IA00_BIS,131,520,553,1250,1,2,5
00037,21D_IA00_BIS,131,515,546,875,2,2,2
R-2,21D_IA00_BIS,131,510,544,950,2,2,2
R-2,21D_IA00_BIS,131,477,495,800,1,2,3
R-3,21D_IA00_BIS,131,594,625,1995,2,2,4
00001,10D_IA00_BOF,131,829,869,4800,2,2,4
00002,10D_IA00_BOF,131,550,584,1300,2,2,1
00003,10D_IA00_BOF,131,594,632,1800,1,2,4
00004,10D_IA00_BOF,131,686,724,2400,1,2,7
00005,10D_IA00_BOF,131,220,236,80,9,9,0
00005,10D_IA00_BOF,131,576,619,1475,2,2,2
00005,10D_IA00_BOF,131,576,616,1475,1,2,3
